index,input_norm,remap_output_norm
0,0.0000000000,0.0000000000
1,0.0625000000,0.0625000000
2,0.1250000000,0.1250000000
3,0.1875000000,0.1875000000
4,0.2500000000,0.2500000000
5,0.3125000000,0.3125000000
6,0.3750000000,0.3750000000
7,0.4375000000,0.4375000000
8,0.5000000000,0.5000000000
9,0.5625000000,0.5625000000
10,0.6250000000,0.6250000000
11,0.6875000000,0.6875000000
12,0.7500000000,0.7500000000
13,0.8125000000,0.8125000000
14,0.8750000000,0.8750000000
15,0.9375000000,0.9375000000
16,1.0000000000,1.0000000000
